Date,Returns,Drawdown
2024-01-05,0.001,0.0
2024-01-16,0.0012,0.0
2024-01-15,0.0017,0.0
2024-01-15,0.0017,0.0
2024-01-15,0.001,0.0
2024-01-16,0.0011,0.0
2024-01-16,0.0009,0.0
2024-01-16,0.002,0.0
2024-01-16,0.0021,0.0
2024-01-16,0.0022,0.0
2024-01-16,0.0021,0.0
2024-01-16,0.0022,0.0
2024-01-16,0.0022,0.0
2024-01-17,0.002,0.0
2024-01-17,0.0017,0.0
2024-01-17,0.0014,0.0
2024-01-17,0.0015,0.0
2024-01-17,0.0013,0.0
2024-01-17,0.0019,0.0
2024-01-17,0.001,0.0
2024-01-17,0.0013,0.0
2024-01-17,0.0014,0.0
2024-01-17,0.0015,0.0
2024-01-17,0.0016,0.0
2024-01-17,0.0022,0.0
2024-01-18,0.0016,0.0
2024-01-18,0.0022,0.0
2024-01-18,0.0027,0.0
2024-01-18,0.0024,0.0
2024-01-18,0.0025,0.0
2024-01-19,0.0028,0.0
2024-01-19,0.0035,0.0
2024-01-22,0.0035,0.0
2024-01-22,0.0037,0.0
2024-01-22,0.0031,0.0
2024-01-22,0.0026,0.0
2024-01-22,0.002,0.0
2024-01-22,0.0022,0.0
2024-01-22,0.003,0.0
2024-01-22,0.0024,0.0
2024-01-22,0.0025,0.0
2024-01-22,0.0024,0.0
2024-01-22,0.0022,0.0
2024-01-22,0.0024,0.0
2024-01-22,0.0028,0.0
2024-01-22,0.0029,0.0
2024-01-23,0.0026,0.0
2024-01-23,0.0024,0.0
2024-01-23,0.0032,0.0
2024-01-23,0.0029,0.0
2024-01-23,0.0031,0.0
2024-01-24,0.0028,0.0
2024-01-24,0.0036,0.0
2024-01-24,0.0035,0.0
2024-01-24,0.0029,0.0
2024-01-24,0.0029,0.0
2024-01-24,0.0026,0.0
2024-01-24,0.003,0.0
2024-01-24,0.0028,0.0
2024-01-25,0.0026,0.0
2024-01-25,0.0022,0.0
2024-01-25,0.0017,0.0
2024-01-25,0.0013,0.0
2024-01-25,0.001,0.0
2024-01-25,0.0003,0.0
2024-01-26,0.0034,0.0
2024-01-26,0.0021,0.0
2024-01-26,0.0035,0.0
2024-01-26,0.0036,0.0
2024-01-26,0.0028,0.0
2024-01-26,0.0038,0.0
2024-01-26,0.0048,0.0
2024-02-06,0.0056,0.0
2024-02-06,0.0059,0.0
2024-02-07,0.0064,0.0
2024-02-08,0.0052,0.0
2024-02-08,0.005,0.0
2024-02-08,0.0031,0.0
2024-02-08,0.0027,0.0
2024-02-08,0.0023,0.0
2024-02-08,0.0022,0.0
2024-02-08,0.0052,0.0
2024-02-09,0.2029,0.0
2024-02-09,0.2021,0.0
2024-02-09,0.2031,0.0
2024-02-09,0.2031,0.0
2024-02-09,0.2023,0.0
2024-02-09,0.2024,0.0
2024-02-12,0.2031,0.0
2024-02-12,0.1997,0.0
2024-02-12,0.199,0.0
2024-02-13,0.1991,0.0
2024-02-13,0.1986,0.0
2024-02-13,0.1984,0.0
2024-02-13,0.1992,0.0
2024-02-13,0.1994,0.0
2024-02-13,0.1975,0.0
2024-02-13,0.1972,0.0
2024-02-13,0.1998,0.0
2024-02-13,0.2002,0.0
2024-02-13,0.201,0.0
2024-02-15,0.2014,0.0
2024-02-14,0.2023,0.0
2024-02-14,0.2028,0.0
2024-02-14,0.2031,0.0
2024-02-14,0.2031,0.0
2024-02-14,0.205,0.0
2024-02-14,0.2057,0.0
2024-02-15,0.2054,0.0
2024-02-15,0.2055,0.0
2024-02-15,0.2094,0.0
2024-02-15,0.21,0.0
2024-02-15,0.2101,0.0
2024-02-15,0.2102,0.0
2024-02-15,0.2103,0.0
2024-02-15,0.2105,0.0
2024-02-15,0.2105,0.0
2024-02-16,0.2105,0.0
2024-02-16,0.2109,0.0
2024-02-16,0.2133,0.0
2024-02-19,0.2133,0.0
2024-02-20,0.2149,0.0
2024-02-20,0.215,0.0
2024-02-20,0.2156,0.0
2024-02-20,0.2157,0.0
2024-02-20,0.2149,0.0
2024-02-20,0.2151,0.0
2024-02-20,0.2151,0.0
2024-02-20,0.2166,0.0
2024-02-20,0.2166,0.0
2024-02-20,0.2167,0.0
2024-02-20,0.217,0.0
2024-02-20,0.2171,0.0
2024-02-20,0.2175,0.0
2024-02-20,0.2176,0.0
2024-02-20,0.218,0.0
2024-02-20,0.2182,0.0
2024-02-21,0.2183,0.0
2024-02-21,0.2184,0.0
2024-02-21,0.2185,0.0
2024-02-21,0.2186,0.0
2024-02-21,0.2185,0.0
2024-02-21,0.2186,0.0
2024-02-22,0.2163,0.0
2024-02-22,0.2152,0.0
2024-02-22,0.2143,0.0
2024-02-22,0.2146,0.0
2024-02-22,0.214,0.0
2024-02-22,0.2137,0.0
2024-02-23,0.2147,0.0
2024-02-23,0.2149,0.0
2024-02-26,0.2184,0.0
2024-02-26,0.2189,0.0
2024-02-26,0.219,0.0
2024-02-26,0.219,0.0
2024-02-26,0.2191,0.0
2024-02-26,0.2184,0.0
2024-02-26,0.2185,0.0
2024-02-26,0.2182,0.0
2024-02-26,0.2184,0.0
2024-02-27,0.2186,0.0
2024-02-27,0.2186,0.0
2024-02-27,0.2196,0.0
2024-02-27,0.2197,0.0
2024-02-27,0.2201,0.0
2024-02-27,0.2201,0.0
2024-02-28,0.2184,0.0
2024-02-28,0.2181,0.0
2024-02-28,0.2155,0.0
2024-02-28,0.215,0.0
2024-02-29,0.2153,0.0
2024-03-04,0.2206,0.0
2024-02-29,0.2237,0.0
2024-03-04,0.224,0.0
2024-03-05,0.222,0.0
2024-03-05,0.2203,0.0
2024-03-05,0.2188,0.0
2024-03-05,0.2173,-0.01
2024-03-06,0.2218,0.0
2024-03-06,0.2274,0.0
2024-03-07,0.229,0.0
2024-03-07,0.2338,0.0
2024-03-08,0.2337,0.0
2024-03-08,0.2342,0.0
2024-03-08,0.2343,0.0
2024-03-08,0.2343,0.0
2024-03-08,0.2344,0.0
2024-03-11,0.2317,0.0
2024-03-11,0.2289,0.0
2024-03-11,0.2326,0.0
2024-03-11,0.2343,0.0
2024-03-11,0.2321,0.0
2024-03-11,0.23,0.0
2024-03-11,0.2277,-0.01
2024-03-11,0.2249,-0.01
2024-03-11,0.2237,-0.01
2024-03-13,0.2225,-0.01
2024-03-13,0.2215,-0.01
2024-03-13,0.2193,-0.01
2024-03-13,0.2171,-0.01
2024-03-13,0.2141,-0.02
2024-03-14,0.219,-0.01
2024-03-13,0.2163,-0.01
2024-03-13,0.2138,-0.02
2024-03-13,0.2093,-0.02
2024-03-13,0.2049,-0.02
2024-03-14,0.2093,-0.02
2024-03-15,0.2146,-0.02
2024-03-15,0.2146,-0.02
2024-03-15,0.2148,-0.02
2024-03-15,0.2104,-0.02
2024-03-15,0.2052,-0.02
2024-03-15,0.2096,-0.02
2024-03-17,0.2063,-0.02
2024-03-18,0.203,-0.03
2024-03-18,0.1996,-0.03
2024-03-19,0.1996,-0.03
2024-03-19,0.1998,-0.03
2024-03-21,0.1995,-0.03
2024-03-21,0.1988,-0.03
2024-03-21,0.1977,-0.03
2024-03-21,0.1963,-0.03
2024-03-22,0.193,-0.03
2024-03-22,0.1932,-0.03
2024-03-22,0.1929,-0.03
2024-03-22,0.1928,-0.03
2024-03-22,0.1923,-0.03
2024-03-22,0.1917,-0.03
2024-03-25,0.1914,-0.03
2024-03-25,0.1906,-0.04
2024-03-25,0.1898,-0.04
2024-03-25,0.1905,-0.04
2024-03-25,0.1902,-0.04
2024-03-25,0.1894,-0.04
2024-03-25,0.1886,-0.04
2024-03-25,0.188,-0.04
2024-03-25,0.1876,-0.04
2024-03-25,0.1879,-0.04
2024-03-26,0.188,-0.04
2024-03-26,0.1881,-0.04
2024-03-26,0.1881,-0.04
2024-03-26,0.1882,-0.04
2024-03-26,0.1883,-0.04
2024-03-26,0.1881,-0.04
2024-03-26,0.1884,-0.04
2024-03-26,0.1883,-0.04
2024-03-26,0.1881,-0.04
2024-03-26,0.1882,-0.04
2024-03-26,0.1883,-0.04
2024-03-26,0.1884,-0.04
2024-03-26,0.1882,-0.04
2024-03-26,0.1879,-0.04
2024-03-26,0.1881,-0.04
2024-03-26,0.1874,-0.04
2024-03-27,0.1882,-0.04
2024-03-27,0.1881,-0.04
2024-03-27,0.1884,-0.04
2024-03-27,0.188,-0.04
2024-03-27,0.1878,-0.04
2024-03-27,0.1881,-0.04
2024-03-27,0.188,-0.04
2024-03-27,0.1867,-0.04
2024-03-27,0.1863,-0.04
2024-03-27,0.1861,-0.04
2024-03-27,0.186,-0.04
2024-03-27,0.1869,-0.04
2024-03-28,0.1865,-0.04
2024-03-28,0.1863,-0.04
2024-03-28,0.1867,-0.04
2024-03-28,0.1871,-0.04
2024-03-28,0.1875,-0.04
2024-03-28,0.1879,-0.04
2024-03-28,0.1874,-0.04
2024-03-28,0.1879,-0.04
2024-04-01,0.1883,-0.04
2024-04-01,0.1879,-0.04
2024-04-01,0.1883,-0.04
2024-04-01,0.1879,-0.04
2024-04-01,0.1879,-0.04
2024-04-01,0.1875,-0.04
2024-04-01,0.1871,-0.04
2024-04-01,0.1867,-0.04
2024-04-01,0.1863,-0.04
2024-04-01,0.1858,-0.04
2024-04-01,0.1863,-0.04
2024-04-01,0.1852,-0.04
2024-04-01,0.1857,-0.04
2024-04-01,0.1856,-0.04
2024-04-01,0.186,-0.04
2024-04-02,0.1865,-0.04
2024-04-02,0.1869,-0.04
2024-04-02,0.1874,-0.04
2024-04-02,0.1874,-0.04
2024-04-02,0.1869,-0.04
2024-04-02,0.1865,-0.04
2024-04-02,0.1861,-0.04
2024-04-02,0.1856,-0.04
2024-04-02,0.1852,-0.04
2024-04-02,0.1847,-0.04
2024-04-02,0.1843,-0.04
2024-04-02,0.1835,-0.04
2024-04-02,0.1831,-0.04
2024-04-02,0.1835,-0.04
2024-04-02,0.1852,-0.04
2024-04-03,0.1848,-0.04
2024-04-03,0.1852,-0.04
2024-04-03,0.1856,-0.04
2024-04-03,0.1861,-0.04
2024-04-03,0.1869,-0.04
2024-04-03,0.1865,-0.04
2024-04-03,0.1864,-0.04
2024-04-03,0.1863,-0.04
2024-04-03,0.1858,-0.04
2024-04-03,0.1863,-0.04
2024-04-04,0.1867,-0.04
2024-04-04,0.1856,-0.04
2024-04-04,0.1858,-0.04
2024-04-04,0.1858,-0.04
2024-04-04,0.1856,-0.04
2024-04-04,0.1849,-0.04
2024-04-04,0.1849,-0.04
2024-04-04,0.1854,-0.04
2024-04-04,0.1969,-0.03
2024-04-04,0.197,-0.03
2024-04-04,0.1972,-0.03
2024-04-04,0.1967,-0.03
2024-04-04,0.1963,-0.03
2024-04-04,0.1958,-0.03
2024-04-04,0.1956,-0.03
2024-04-05,0.1952,-0.03
2024-04-05,0.2181,-0.01
2024-04-05,0.2186,-0.01
2024-04-05,0.2183,-0.01
2024-04-05,0.2188,-0.01
2024-04-05,0.2189,-0.01
2024-04-05,0.2189,-0.01
2024-04-05,0.2189,-0.01
2024-04-05,0.2185,-0.01
2024-04-05,0.2189,-0.01
2024-04-08,0.2194,-0.01
2024-04-08,0.2194,-0.01
2024-04-08,0.219,-0.01
2024-04-08,0.219,-0.01
2024-04-08,0.2194,-0.01
2024-04-08,0.2195,-0.01
2024-04-08,0.2197,-0.01
2024-04-08,0.2199,-0.01
2024-04-08,0.2199,-0.01
2024-04-09,0.2203,-0.01
2024-04-09,0.2205,-0.01
2024-04-09,0.22,-0.01
2024-04-09,0.22,-0.01
2024-04-09,0.2195,-0.01
2024-04-09,0.22,-0.01
2024-04-09,0.22,-0.01
2024-04-09,0.2203,-0.01
2024-04-09,0.2203,-0.01
2024-04-09,0.2203,-0.01
2024-04-09,0.2204,-0.01
2024-04-09,0.2205,-0.01
2024-04-09,0.2207,-0.01
2024-04-09,0.2207,-0.01
2024-04-09,0.2208,-0.01
2024-04-09,0.2208,-0.01
2024-04-10,0.2208,-0.01
2024-04-10,0.2208,-0.01
2024-04-10,0.2208,-0.01
2024-04-10,0.221,-0.01
2024-04-11,0.2211,-0.01
2024-04-11,0.2211,-0.01
2024-04-11,0.2212,-0.01
2024-04-11,0.2212,-0.01
2024-04-11,0.2213,-0.01
2024-04-11,0.2211,-0.01
2024-04-11,0.2211,-0.01
2024-04-11,0.2207,-0.01
2024-04-11,0.2206,-0.01
2024-04-11,0.2206,-0.01
2024-04-11,0.221,-0.01
2024-04-11,0.2205,-0.01
2024-04-12,0.2184,-0.01
2024-04-11,0.2183,-0.01
2024-04-11,0.2185,-0.01
2024-04-12,0.219,-0.01
2024-04-12,0.219,-0.01
2024-04-15,0.2193,-0.01
2024-04-15,0.2196,-0.01
2024-04-15,0.2192,-0.01
2024-04-15,0.2192,-0.01
2024-04-15,0.2197,-0.01
2024-04-15,0.2199,-0.01
2024-04-15,0.2199,-0.01
2024-04-16,0.2204,-0.01
2024-04-16,0.2213,-0.01
2024-04-16,0.2215,-0.01
2024-04-16,0.2217,-0.01
2024-04-16,0.2218,-0.01
2024-04-16,0.2218,-0.01
2024-04-16,0.2218,-0.01
2024-04-16,0.2209,-0.01
2024-04-16,0.2209,-0.01
2024-04-16,0.221,-0.01
2024-04-16,0.2212,-0.01
2024-04-16,0.2213,-0.01
2024-04-16,0.2209,-0.01
2024-04-16,0.221,-0.01
2024-04-16,0.2201,-0.01
2024-04-17,0.2206,-0.01
2024-04-17,0.2206,-0.01
2024-04-17,0.2206,-0.01
2024-04-17,0.2204,-0.01
2024-04-17,0.2203,-0.01
2024-04-17,0.2201,-0.01
2024-04-17,0.2197,-0.01
2024-04-17,0.2194,-0.01
2024-04-17,0.2203,-0.01
2024-04-17,0.2201,-0.01
2024-04-17,0.2196,-0.01
2024-04-17,0.2187,-0.01
2024-04-17,0.2196,-0.01
2024-04-17,0.2199,-0.01
2024-04-17,0.2201,-0.01
2024-04-17,0.2201,-0.01
2024-04-17,0.2192,-0.01
2024-04-17,0.2188,-0.01
2024-04-17,0.2179,-0.01
2024-04-18,0.217,-0.01
2024-04-18,0.2161,-0.01
2024-04-18,0.217,-0.01
2024-04-18,0.2179,-0.01
2024-04-18,0.2188,-0.01
2024-04-19,0.2179,-0.01
2024-04-19,0.218,-0.01
2024-04-19,0.2188,-0.01
2024-04-19,0.218,-0.01
2024-04-19,0.2188,-0.01
2024-04-19,0.2183,-0.01
